epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,803.106,0.91161,0.58875,1.10805,0.90701,0.88171,0.9028,0.73278,1.09988,0.74008,0.98804,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1609.94,0.91091,0.58814,1.10821,0.92932,0.87518,0.906,0.74204,1.0802,0.72186,0.96736,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2416.53,0.90047,0.5715,1.10203,0.90901,0.87931,0.90418,0.74389,1.08364,0.71451,0.96383,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3227.69,0.88941,0.56874,1.0959,0.90419,0.89008,0.90715,0.74461,1.09857,0.72687,0.98546,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4039.91,0.88002,0.56125,1.092,0.91169,0.88705,0.90292,0.74488,1.09184,0.70847,0.97569,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4847.2,0.87917,0.55579,1.08818,0.91888,0.8767,0.89794,0.74608,1.0666,0.73554,0.96022,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5655.68,0.86771,0.54858,1.08609,0.91629,0.8786,0.90571,0.74345,1.08615,0.71643,0.98215,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6462.09,0.86907,0.54607,1.08513,0.91552,0.88568,0.90643,0.74766,1.10957,0.70989,0.98707,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7276.94,0.86234,0.53838,1.07955,0.90629,0.88428,0.90208,0.74741,1.07554,0.70254,0.97744,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8088.87,0.85273,0.53395,1.07829,0.91638,0.88865,0.90676,0.7475,1.09242,0.69412,0.98555,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8897.34,0.88284,0.55112,1.0875,0.91608,0.89194,0.90704,0.73732,1.10377,0.69242,0.99593,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9704.84,0.86576,0.53985,1.08342,0.92438,0.88689,0.90981,0.74779,1.08122,0.6748,0.97372,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,10518,0.862,0.53662,1.08005,0.92424,0.88286,0.90772,0.75174,1.0623,0.68254,0.95201,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,11333.9,0.85984,0.53047,1.07671,0.92748,0.89117,0.91293,0.74893,1.07636,0.66936,0.97453,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,12143.7,0.85203,0.52584,1.0707,0.92361,0.89196,0.90975,0.75574,1.08808,0.68994,0.98881,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,12961.2,0.84619,0.5163,1.07717,0.91486,0.89337,0.91016,0.74375,1.09712,0.68618,0.99312,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,13773.5,0.83338,0.50868,1.06558,0.91685,0.88962,0.91146,0.76123,1.07356,0.68313,0.97586,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,14583,0.83162,0.50454,1.06037,0.91872,0.89183,0.91018,0.75173,1.08408,0.68047,0.98671,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,15397.3,0.82878,0.50726,1.06879,0.90457,0.8887,0.9082,0.75352,1.09257,0.68214,0.9804,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,16209.5,0.82059,0.49861,1.05853,0.91475,0.89178,0.90918,0.75618,1.07161,0.67753,0.96439,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,17021.3,0.82298,0.49646,1.06005,0.92604,0.88605,0.91118,0.75629,1.08408,0.69387,0.97126,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,17831.7,0.81626,0.49096,1.05918,0.91983,0.88512,0.90914,0.75337,1.09232,0.69147,0.97628,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
55,770.798,0.7111,0.41636,1.00459,0.92552,0.89158,0.90675,0.75806,1.06482,0.67372,0.97334,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1573.11,0.71338,0.4196,1.00574,0.91963,0.88829,0.90408,0.75884,1.07257,0.66494,0.97994,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2351.33,0.70766,0.41124,1.00327,0.92339,0.89389,0.90496,0.75994,1.07207,0.68256,0.98301,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3129.23,0.6971,0.40719,0.99956,0.91556,0.89221,0.90647,0.75841,1.07526,0.68044,0.99012,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3906.29,0.68729,0.40434,0.9947,0.92238,0.88994,0.90723,0.76162,1.07253,0.68012,0.98277,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4711.09,0.68441,0.39807,0.99137,0.92157,0.89512,0.90667,0.76047,1.07799,0.67779,0.98995,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5488.37,0.68093,0.3974,0.99329,0.91911,0.89348,0.9054,0.75622,1.07803,0.68737,0.98695,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6266.68,0.67985,0.39609,0.99088,0.92094,0.8931,0.90658,0.75596,1.07793,0.67459,0.98455,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
96,809.373,0.39912,0.23494,0.88521,0.92918,0.88868,0.90413,0.76055,1.0718,0.68317,0.99765,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,1635.42,0.41398,0.23886,0.8865,0.93012,0.88905,0.90426,0.7617,1.0708,0.68561,0.99873,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,2437.44,0.4173,0.23809,0.8861,0.93119,0.88893,0.90426,0.76052,1.06956,0.68787,0.99894,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,3240.96,0.41924,0.24003,0.88838,0.93151,0.8888,0.90429,0.76033,1.06864,0.68823,1.00077,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,4048.35,0.43103,0.24665,0.89261,0.9314,0.88893,0.90419,0.75939,1.0691,0.68712,1.00307,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
